imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR,isSuccess,errorT,errorR
158.png,True,"[0.0, 0.0, 0.1]","[[0.9713944250328961, 0.0, 0.2374718320454221], [0.0, 1.0, 0.0], [-0.2374718320454221, 0.0, 0.9713944250328961]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-9.777471700411183e-05, -6.827642236368796e-05, 0.12530390160007396]","[0.00021493350145558886, 0.24177315787915396, 6.410306014777579e-05]",False,0.025304182613776743,0.0020231666048530516
159.png,True,"[0.0, 0.0, 0.1]","[[0.9643104428603411, 0.0, 0.2647741864126726], [0.0, 1.0, 0.0], [-0.2647741864126726, 0.0, 0.9643104428603411]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-7.328710473910845e-05, -6.810821372175536e-05, 0.125323218890233]","[0.0002436245136517086, 0.2656202889323105, 6.995219586489335e-05]",False,0.02532341652880099,0.0023630066804931397
160.png,True,"[0.0, 0.0, 0.1]","[[0.956459253990476, 0.0, 0.29186588607780445], [0.0, 0.9999999999999999, 0.0], [-0.29186588607780445, 0.0, 0.956459253990476]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[6.584577269223185e-06, -6.795375245803761e-05, 0.12543192478581455]","[0.00027900620434087, 0.2934628867013421, 7.66678516657592e-05]",False,0.025432016423800517,0.00272946617381907
161.png,True,"[0.0, 0.0, 0.1]","[[0.9478471048398232, 0.0, 0.3187253768477895], [0.0, 1.0, 0.0], [-0.3187253768477895, 0.0, 0.9478471048398232]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-8.949871146161051e-05, -6.756146660359327e-05, 0.12517250927597826]","[0.0003185108159293515, 0.3288265646746248, 8.532192230970499e-05]",False,0.025172759042670193,0.004454252946594572
162.png,True,"[0.0, 0.0, 0.1]","[[0.9384808472459367, 0.0, 0.34533128927531115], [0.0, 1.0, 0.0], [-0.34533128927531115, 0.0, 0.9384808472459367]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-7.47878906930332e-05, -6.744464180396387e-05, 0.12531642815127256]","[0.0003514861754337789, 0.3584173305878219, 9.248673969469709e-05]",False,0.025316628455362054,0.00583677240328091
163.png,True,"[0.0, 0.0, 0.1]","[[0.9283679330160726, 0.0, 0.3716624556603274], [0.0, 1.0, 0.0], [-0.3716624556603274, 0.0, 0.9283679330160726]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00010055073281741025, -6.732664215006835e-05, 0.12535370890985606]","[0.0003741798853070457, 0.38195522988946323, 9.818192666292211e-05]",False,0.02535399768897062,0.0012183862044769346
164.png,True,"[0.0, 0.0, 0.1]","[[0.9175164079985194, 0.0, 0.3976979268911198], [0.0, 1.0, 0.0], [-0.3976979268911198, 0.0, 0.9175164079985194]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-4.2647432680965885e-05, -2.0225271622527984e-05, 0.1254343778330504]","[0.00287468182995057, 0.4115660556965702, -0.001251631964096826]",False,0.025434421629348905,0.004030593074515327
165.png,True,"[0.0, 0.0, 0.1]","[[0.9059349056813111, 0.0, 0.42341698911143605], [0.0, 1.0, 0.0], [-0.42341698911143605, 0.0, 0.9059349056813111]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-2.8852341104623958e-05, -6.707260097284885e-05, 0.12541643925294343]","[0.0004232429858632205, 0.4354966770494654, 0.00011126937928787321]",False,0.025416544129561597,0.0017711491218528725
166.png,True,"[0.0, 0.0, 0.1]","[[0.8936326403234122, 0.0, 0.44879918020046217], [0.0, 0.9999999999999999, 0.0], [-0.44879918020046217, 0.0, 0.8936326403234122]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-9.207456125230959e-05, -6.679319231801962e-05, 0.12520272931035442]","[0.0004489023991851092, 0.4717884585264686, 0.00012024521668964444]",False,0.025202986008534135,0.0063839584457581165
167.png,True,"[0.0, 0.0, 0.1]","[[0.8806193996238411, 0.0, 0.4738243060525136], [0.0, 1.0000000000000002, 0.0], [-0.4738243060525136, 0.0, 0.8806193996238411]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-2.940953066971754e-05, -6.673305206108432e-05, 0.12526434727585112]","[0.00046472173695672717, 0.496196196930939, 0.00012611699553085525]",False,0.025264452527128646,0.002611588797149765
168.png,True,"[0.0, 0.0, 0.1]","[[0.8669055369345617, 0.0, 0.498472456643493], [0.0, 1.0, 0.0], [-0.498472456643493, 0.0, 0.8669055369345617]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-3.726992191910621e-05, -6.670034079922105e-05, 0.12537115584991265]","[0.0004806245020911928, 0.5235293748596687, 0.00013297567936427818]",False,0.025371270901220128,0.001763867723866641
169.png,True,"[0.0, 0.0, 0.1]","[[0.8525019630233464, 0.0, 0.5227240218713324], [0.0, 1.0, 0.0], [-0.5227240218713324, 0.0, 0.8525019630233464]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-1.0755732987863878e-05, -2.6100876772929037e-05, 0.12542322720088364]","[0.0017980204665787116, 0.5522433678806412, -0.0012061153737962936]",False,0.025423242874372066,0.0030678200328318347
170.png,True,"[0.0, 0.0, 0.1]","[[0.8374201373931495, 0.0, 0.5465597071578171], [0.0, 1.0, 0.0], [-0.5465597071578171, 0.0, 0.8374201373931495]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-3.527912112971358e-05, -6.656691396313976e-05, 0.12539869464614603]","[0.0005064940587713683, 0.5757307240658746, 0.00014645122203691058]",False,0.02539880637940667,0.002572856924746928
171.png,True,"[0.0, 0.0, 0.1]","[[0.8216720591649154, 0.0, 0.5699605487993777], [0.0, 1.0, 0.0], [-0.5699605487993777, 0.0, 0.8216720591649154]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00011563730447703346, -6.635546570287596e-05, 0.1251612311364817]","[0.0005183602590143847, 0.6088979622434841, 0.00015506820656907883]",False,0.025161584356663057,0.002497613272618643
172.png,True,"[0.0, 0.0, 0.1]","[[0.8052702575310587, 0.0, 0.5929079290546405], [0.0, 1.0000000000000002, 0.0], [-0.5929079290546405, 0.0, 0.8052702575310587]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-2.568718035224519e-05, -6.636599710312676e-05, 0.1252769563546177]","[0.0005279421991155514, 0.637007587199376, 0.00016221476202397988]",False,0.025277056530182727,0.0024045361505131454
173.png,True,"[0.0, 0.0, 0.1]","[[0.7882277817872235, 0.0, 0.6153835909567246], [0.0, 1.0, 0.0], [-0.6153835909567246, 0.0, 0.7882277817872235]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-3.539553656349629e-05, -2.9045643186441743e-05, 0.12531919336717523]","[0.0011994396552642906, 0.6656428856673482, -0.0011776047217121883]",False,0.02531923476840891,0.003224649569295671
174.png,True,"[0.0, 0.0, 0.1]","[[0.7705581909502454, 0.0, 0.6373696528385118], [0.0, 0.9999999999999999, 0.0], [-0.6373696528385118, 0.0, 0.7705581909502454]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-3.599325314033267e-05, -6.632317108786719e-05, 0.12534771595401298]","[0.0005427204406779429, 0.6935307607772211, 0.00017764179719111136]",False,0.025347828277046115,0.0025140041788530246
175.png,True,"[0.0, 0.0, 0.1]","[[0.7522755429705794, 0.0, 0.6588486225593249], [0.0, 1.0, 0.0], [-0.6588486225593249, 0.0, 0.7522755429705794]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-5.6646543057432545e-05, -6.633475755209036e-05, 0.12541552651151144]","[0.0005469877918092541, 0.7185286665079607, 0.00018442697001040852]",False,0.025415676205606662,0.0009457650526401613
176.png,True,"[0.0, 0.0, 0.1]","[[0.7333943835477752, 0.0, 0.6798034114216982], [0.0, 1.0, 0.0], [-0.6798034114216982, 0.0, 0.7333943835477752]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-1.2183588985648443e-05, -6.627918780911814e-05, 0.12536797805567976]","[0.0005522242408947303, 0.7472518519638337, 0.00019251212810387437]",False,0.02536806756542616,0.0006207114609224031
177.png,True,"[0.0, 0.0, 0.1]","[[0.7139297345578991, 0.0, 0.7002173477671686], [0.0, 1.0, 0.0], [-0.7002173477671686, 0.0, 0.7139297345578991]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-8.628187867631302e-05, -6.630917680630223e-05, 0.12545035298730012]","[0.0005545920682262362, 0.7739554315735556, 0.0002001129719068219]",False,0.025450585624847463,0.0018386539652993478
178.png,True,"[0.0, 0.0, 0.1]","[[0.6938970821021089, 0.0, 0.7200741902402689], [0.0, 1.0, 0.0], [-0.7200741902402689, 0.0, 0.6938970821021089]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-3.0823158193580244e-05, -6.612853678387409e-05, 0.12517778125112414]","[0.0005569111787826853, 0.8042467037071882, 0.00020819593072485788]",False,0.025177886960186236,0.0006698888495558437
179.png,True,"[0.0, 0.0, 0.1]","[[0.6733123641858916, 0.0, 0.7393581407101738], [0.0, 1.0, 0.0], [-0.7393581407101738, 0.0, 0.6733123641858916]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-2.7326379621851355e-05, -6.608589515755807e-05, 0.1251264509212018]","[0.00055911438131691, 0.8337206590877144, 0.00021691102072482235]",False,0.02512655268778678,0.0017065970983016119
180.png,True,"[0.0, 0.0, 0.1]","[[0.6521919580387625, 0.0, 0.7580538568397135], [0.0, 1.0, 0.0], [-0.7580538568397135, 0.0, 0.6521919580387625]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.319928219691288e-06, -6.612872689727154e-05, 0.12521613566536255]","[0.0005596174236657745, 0.8621967982945967, 0.00022501891740628888]",False,0.025216223167714522,0.0019620419071372823
181.png,True,"[0.0, 0.0, 0.1]","[[0.6305526670845226, 0.0, 0.7761464642917568], [0.0, 1.0, 0.0], [-0.7761464642917568, 0.0, 0.6305526670845226]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-5.005153877192304e-05, -6.609537197109632e-05, 0.1251668316600618]","[0.000559999879831135, 0.8931040436506482, 0.00023451653604307144]",False,0.025166968223459447,0.004610354751624525
182.png,True,"[0.0, 0.0, 0.1]","[[0.6084117075724278, 0.0, 0.7936215685632559], [0.0, 1.0, 0.0], [-0.7936215685632559, 0.0, 0.6084117075724278]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-8.706962438923354e-05, -6.610783013904807e-05, 0.1251927883533889]","[0.0005587917050982911, 0.9167824388255644, 0.00024144464093665388]",False,0.025193025550404702,0.0005892633375106524
183.png,True,"[0.0, 0.0, 0.1]","[[0.5857866948799202, 0.0, 0.8104652664375317], [0.0, 1.0, 0.0], [-0.8104652664375317, 0.0, 0.5857866948799202]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0001986309817657974, -4.749339500583584e-05, 0.12550851010732217]","[0.004766076357321649, 0.9480129379829639, -0.0025201875428861645]",False,0.025509327662344285,0.006031086653854781
184.png,True,"[0.0, 0.0, 0.1]","[[0.5626956294978103, 0.0, 0.8266641570456911], [0.0, 1.0, 0.0], [-0.8266641570456911, 0.0, 0.5626956294978103]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.523250029404216e-05, -6.60862731048748e-05, 0.12515864461727677]","[0.0005562797822662581, 0.9728901541034501, 0.00025832801974583355]",False,0.025158815982732903,0.0006454837081022189
185.png,True,"[0.0, 0.0, 0.1]","[[0.5391568827090594, 0.0, 0.842205352528378], [0.0, 1.0, 0.0], [-0.842205352528378, 0.0, 0.5391568827090594]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-7.836185767205374e-05, -6.603016528356533e-05, 0.12505805337836506]","[0.0005545746598987988, 1.0016036131301076, 0.0002673632305941482]",False,0.025058262902213666,0.0006383172573543907
186.png,True,"[0.0, 0.0, 0.1]","[[0.5151891819725657, 0.0, 0.8570764882893701], [0.0, 1.0000000000000002, 0.0], [-0.8570764882893701, 0.0, 0.5151891819725657]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00012967224921932842, -5.5319906717721674e-05, 0.12547317497177585]","[0.0033055905858340295, 1.0299793704908806, -0.0016117925713297438]",False,0.025473565088675827,0.0035412988711124587
187.png,True,"[0.0, 0.0, 0.1]","[[0.49081159602356833, 0.0, 0.8712657328328698], [0.0, 1.0, 0.0], [-0.8712657328328698, 0.0, 0.49081159602356833]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-5.1415495546165336e-05, -5.5895796647813085e-05, 0.12537486327400113]","[0.003273630699446501, 1.0612946200098163, -0.0016167714019564667]",False,0.025374976927428253,0.004951648847764669
188.png,True,"[0.0, 0.0, 0.1]","[[0.46604351970253877, 0.0, 0.8847617971766578], [0.0, 1.0, 0.0], [-0.8847617971766578, 0.0, 0.46604351970253877]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-4.429006838046251e-05, -6.614851989978317e-05, 0.12523480020300998]","[0.0005462793511821685, 1.0886787664042166, 0.0002948520903347299]",False,0.02523492576812292,0.002760075044490638
189.png,True,"[0.0, 0.0, 0.1]","[[0.4409046585246193, 0.0, 0.8975539438336221], [0.0, 1.0, 0.0], [-0.8975539438336221, 0.0, 0.4409046585246193]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-2.5335858755371918e-05, -6.615240690981991e-05, 0.12523576311167803]","[0.0005424141425415548, 1.1153990145008528, 0.0003029655754964967]",False,0.025235862534801697,0.0013451520303504238
190.png,True,"[0.0, 0.0, 0.1]","[[0.41541501300188666, 0.0, 0.9096319953545182], [0.0, 0.9999999999999999, 0.0], [-0.9096319953545182, 0.0, 0.41541501300188666]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-8.897956974763892e-05, -6.197126906092285e-05, 0.12545017086084778]","[0.0018641610629749718, 1.1439755463888355, -0.0006613752617364602]",False,0.02545040185632374,0.0024486497859880466
191.png,True,"[0.0, 0.0, 0.1]","[[0.38959486273091826, 0.0, 0.9209863424251615], [0.0, 1.0, 0.0], [-0.9209863424251615, 0.0, 0.38959486273091826]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-8.951906123562919e-05, -6.628223389878132e-05, 0.12543435093556002]","[0.0005340237341914406, 1.1711968809687783, 0.00032115952571359067]",False,0.025434594836758802,0.0008346689804127766
192.png,True,"[0.0, 0.0, 0.1]","[[0.3634647502583194, 0.0, 0.9316079515116097], [0.0, 1.0, 0.0], [-0.9316079515116097, 0.0, 0.3634647502583194]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.725961178603206e-05, -6.261736175877281e-05, 0.1254893264928048]","[0.0018278874981908291, 1.2028401857030306, -0.0006595695275868839]",False,0.02548949214570922,0.004423949734350798
193.png,True,"[0.0, 0.0, 0.1]","[[0.3370454647370418, 0.0, 0.9414883720472556], [0.0, 1.0, 0.0], [-0.9414883720472556, 0.0, 0.3370454647370418]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-5.840640464010129e-05, -6.630430690262753e-05, 0.12544668616197077]","[0.0005255400644473431, 1.2294401875298866, 0.0003405316161835924]",False,0.025446839571841753,0.0024911445968725443
194.png,True,"[0.0, 0.0, 0.1]","[[0.3103580253865087, 0.0, 0.9506197431561094], [0.0, 1.0, 0.0], [-0.9506197431561094, 0.0, 0.3103580253865087]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-7.864748084620128e-05, -6.619275786048505e-05, 0.12524608415117033]","[0.0005209465222491288, 1.2570337819504902, 0.0003497920634594517]",False,0.025246293428450247,0.0019000661192934917
195.png,True,"[0.0, 0.0, 0.1]","[[0.28342366476969316, 0.0, 0.9589947999069216], [0.0, 1.0, 0.0], [-0.9589947999069216, 0.0, 0.28342366476969316]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00011538355147854759, -6.349678056732005e-05, 0.12554279069135205]","[0.0017775175251207012, 1.2842766992722285, -0.0006617663254923638]",False,0.02554313022139837,0.001959620975665176
196.png,True,"[0.0, 0.0, 0.1]","[[0.25626381190046255, 0.0, 0.9666068790931732], [0.0, 1.0, 0.0], [-0.9666068790931732, 0.0, 0.25626381190046255]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-2.080383505969859e-05, -6.616385185392319e-05, 0.1251754532900677]","[0.0005114076269447955, 1.3136744962217137, 0.00036883841363963125]",False,0.025175548828480904,0.002115969634432481
197.png,True,"[0.0, 0.0, 0.1]","[[0.22890007519462802, 0.0, 0.9734499245343304], [0.0, 1.0, 0.0], [-0.9734499245343304, 0.0, 0.22890007519462802]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-7.931800217876248e-05, -6.632803331557565e-05, 0.1254483028205587]","[0.0005052273255245614, 1.3416904725577996, 0.0003781860326882064]",False,0.025448512868148664,0.0019324109621867956
198.png,True,"[0.0, 0.0, 0.1]","[[0.20135422527825547, 0.0, 0.9795184918941517], [0.0, 1.0, 0.0], [-0.9795184918941517, 0.0, 0.20135422527825547]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-8.514785925318032e-05, -6.618396658967889e-05, 0.12519620314994498]","[0.0005001113046756946, 1.368262964559002, 0.00038722351745736674]",False,0.02519643394706215,0.0006198662877609254
199.png,True,"[0.0, 0.0, 0.1]","[[0.17364817766693041, 0.0, 0.9848077530122079], [0.0, 0.9999999999999999, 0.0], [-0.9848077530122079, 0.0, 0.17364817766693041]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-5.599542181995038e-05, -6.645936918847433e-05, 0.12565303974996825]","[0.0004944119569559702, 1.3988114584887281, 0.0003979378153920473]",False,0.02565318695110743,0.0026142048478964134
200.png,True,"[0.0, 0.0, np.float64(0.1)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.96286464597897e-05, -6.962864645978772e-05, 0.1253315649849463]","[6.841785274784348e-11, -6.841796086649004e-11, -5.171842795810728e-22]",False,0.02533175637186203,9.675753171590393e-11
201.png,True,"[0.0, 0.0, np.float64(0.14949494949494951)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00010458167216372304, -0.0001045816721637231, 0.188247011941451]","[1.5434530627257494e-10, -1.543461143480082e-10, -3.580320973015037e-21]",False,0.038752344684029834,2.1827779681567108e-10
202.png,True,"[0.0, 0.0, np.float64(0.198989898989899)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00013888888923395726, -0.00013888888923395726, 0.24999999999113826]","[-6.431632852602172e-11, 6.431586306559518e-11, -5.9953647254428636e-27]",False,0.05101047916265575,9.095669495391499e-11
203.png,True,"[0.0, 0.0, np.float64(0.2484848484848485)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00017384105771386864, -0.00017384105771386864, 0.3129139072769816]","[4.264472167728993e-10, -4.264475668289189e-10, -2.5453468686552278e-26]",False,0.0644295278445127,6.030876851235295e-10
204.png,True,"[0.0, 0.0, np.float64(0.297979797979798)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00021000000052600451, -0.00021000000052600451, 0.37799999999045936]","[-1.470247862754228e-10, 1.4702436977570041e-10, 2.4880367585450233e-26]",False,0.08002075311959699,2.0792415224613913e-10
205.png,True,"[0.0, 0.0, np.float64(0.3474747474747475)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00024532710177685793, -0.00024532710177685766, 0.44158878503436616]","[3.242818833629445e-10, -3.242821795676529e-10, 4.6284813058162913e-20]",False,0.09411467705170669,4.58604046932172e-10
206.png,True,"[0.0, 0.0, np.float64(0.396969696969697)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0002763157901563939, -0.0002763157901564252, 0.49736842103165757]","[-2.5452506315724703e-10, 2.54525044804105e-10, 6.221463055192414e-21]",False,0.10039948453105467,3.599527833032164e-10
207.png,True,"[0.0, 0.0, np.float64(0.44646464646464656)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0003162650610363361, -0.0003162650610363361, 0.569277108422306]","[-3.334134453195219e-10, 3.3341305204187014e-10, -5.823046326482913e-23]",False,0.12281327639664705,4.715175381591958e-10
208.png,True,"[0.0, 0.0, np.float64(0.49595959595959604)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0003499999985432952, -0.00034999999854329463, 0.6299999999897243]","[6.599204116406819e-10, -6.599203634802316e-10, 1.3433100286218016e-19]",False,0.13404131793054705,9.332683621745077e-10
209.png,True,"[0.0, 0.0, np.float64(0.5454545454545455)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0003804347835431714, -0.0003804347835431495, 0.6847826086618686]","[-4.823914805317748e-10, 4.823916592702708e-10, 8.005826590506218e-20]",False,0.13932910197928092,6.82204700528487e-10
210.png,True,"[0.0, 0.0, np.float64(0.594949494949495)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0004166666677016339, -0.0004166666677016346, 0.749999999973403]","[-5.785955820285037e-10, 5.785947048000898e-10, -2.2636819349354347e-19]",False,0.15505162472671122,8.182570989399395e-10
211.png,True,"[0.0, 0.0, np.float64(0.6444444444444445)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00046052631538275697, -0.00046052631538275783, 0.828947368381207]","[2.1772113372087606e-10, -2.1772297366413034e-10, -3.0562373344392874e-19]",False,0.18450407342438022,3.0790548116241e-10
212.png,True,"[0.0, 0.0, np.float64(0.693939393939394)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0004952830184623565, -0.0004952830184623565, 0.8915094339480942]","[2.5183340035993844e-10, -2.518334658727137e-10, -4.011273679540196e-26]",False,0.19757128161647425,3.5614625657208904e-10
213.png,True,"[0.0, 0.0, np.float64(0.7434343434343434)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0005357142852424962, -0.0005357142852424962, 0.9642857142405105]","[2.9454782666341783e-10, -2.9454818652214195e-10, 1.5760498011200355e-26]",False,0.2208526702726365,4.165537856935469e-10
214.png,True,"[0.0, 0.0, np.float64(0.792929292929293)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0005585106396924543, -0.0005585106396924543, 1.0053191489073368]","[-1.039169646377801e-09, 1.0391693942982065e-09, 7.446233459561866e-26]",False,0.21239132465956195,1.4696076292667594e-09
215.png,True,"[0.0, 0.0, np.float64(0.8424242424242425)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0006104651157667219, -0.0006104651157667202, 1.0988372092735363]","[3.824187477115181e-10, -3.8241656576149504e-10, 7.117131471775378e-19]",False,0.256414420233676,5.408202366499072e-10
216.png,True,"[0.0, 0.0, np.float64(0.891919191919192)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0006402439018774019, -0.0006402439018774019, 1.1524390243381255]","[4.2054364722103633e-10, -4.2054384487317216e-10, -3.328795590546658e-26]",False,0.26052140585390865,5.94738669231018e-10
217.png,True,"[0.0, 0.0, np.float64(0.9414141414141415)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0006730769247645916, -0.0006730769247645897, 1.2115384615103513]","[-1.5086012461932124e-09, 1.5086045517112515e-09, 9.538220678004986e-19]",False,0.27012599721710034,2.1334866799348946e-09
218.png,True,"[0.0, 0.0, np.float64(0.990909090909091)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0007094594589029325, -0.0007094594589029347, 1.2770270270285555]","[5.163785344951294e-10, -5.163827372509141e-10, -1.1169225256426933e-18]",False,0.286119695293263,7.302724986045169e-10
219.png,True,"[0.0, 0.0, np.float64(1.0404040404040407)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.0007499999993807138, -0.0007499999993807114, 1.3499999999736403]","[5.769055824861977e-10, -5.769009943232314e-10, 1.3194309410636255e-18]",False,0.3095977764484417,8.15864454646035e-10
